"Share of assets in pass-throughs, by industries and asset types",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industries/Asset types,Computers and peripheral equipment,Communication equipment,Nonelectronic medical instruments,Electronic medical instruments,Nonmedical instruments,Photocopy and related equipment,Office and accounting equipment,Nuclear fuel,Other fabricated metal products,Steam engines,Internal combustion engines,Metalworking machinery,"Special industrial machinery, n.e.c.",General industrial equipment,"Electric transmission, distribution and industrial apparatus",Light trucks (including utility vehicles),"Other trucks, buses, and truck trailers",Autos,Aircraft,Ships and boats,Railroad equipment,Household furniture,Other furniture and fixtures,Other agricultural machinery,Farm tractors,Other construction machinery,Construction tractors,Mining and oilfield machinery,Service industry machinery,Household appliances,"Other electrical equipment, n.e.c",Other nonresidential equipment,Office and medical buildings,Hospitals and special care facilities,Warehouses,Mobile structures,Other commercial buildings,Manufacturing buildings,Regulated electric power structures,Unregulated electric power structures,Regulated wind and solar power structures,Unregulated wind and solar power structures,Gas power structures,Petroleum pipelines,Communication structures,Depreciable petroleum and natural gas structures,Depreciable mining structures,Religious buildings,Educational and vocational buildings,Lodging buildings,Amusement and recreation buildings,Track replacement,Other railroad structures,Other transportation structures,Farm buildings,Water supply and sewer and waste disposal facilities,"Public safety, highways, conservation, and development",Oil and gas exploration (geological and geophysical)--integrated,Oil and gas exploration (geological and geophysical)--independent,Oil and gas development (intangible drilling costs)--integrated,Oil and gas development (intangible drilling costs)--independent,Other mineral exploration--C corps,Other mineral exploration--pass-throughs,Other mineral development--C corps,Other mineral development--pass-throughs,Prepackaged software,Custom software,Credit-eligible own account software,Other own-account software,Credit-eligible research and development,Other research and development,Theatrical movies,Long-lived television programs,Books,Music,Other entertainment originals,Reserved for non-BEA intangibles,Reserved for non-BEA intangibles,Residential equipment,Residential buildings,Inventories,Land,Reserved for non-BEA natural resources,Reserved for non-BEA natural resources,Reserved for non-BEA natural resources
"Beverage,_and_Tobacco_Product_Manufacturing",0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0.1748,0,0.1748,0,0.0188,0,1,0,1,0.0188,0.0188,0.0745,0.0744,0.0745,0.0744,0.0188,0.0188,0.0188,0.0188,0.0188,0,0,0.1748,0.1748,0.2051,0.1847,0,0,0
Textile_and_Textile_Product_Mills,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0.1703,0,0.1703,0,0.1042,0,1,0,1,0.1042,0.1042,0.1289,0.1254,0.1289,0.1254,0.1042,0.1042,0.1042,0.1042,0.1042,0,0,0.1703,0.1703,0.2905,0.2024,0,0,0
"Apparel,_Leather,_and_Allied_Products_Manufacturing",0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0.3326,0,0.3326,0,0.0704,0,1,0,1,0.0704,0.0704,0.1733,0.1465,0.1733,0.1465,0.0704,0.0704,0.0704,0.0704,0.0704,0,0,0.3326,0.3326,0.4276,0.3599,0,0,0
Wood_Product_Manufacturing,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0.2858,0,0.2858,0,0.182,0,1,0,1,0.182,0.182,0.2192,0.2187,0.2192,0.2187,0.182,0.182,0.182,0.182,0.182,0,0,0.2858,0.2858,0.3861,0.5342,0,0,0
Paper_Manufacturing,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0.1086,0,0.1086,0,0.0615,0,1,0,1,0.0615,0.0615,0.0785,0.0779,0.0785,0.0779,0.0615,0.0615,0.0615,0.0615,0.0615,0,0,0.1086,0.1086,0.1765,0.1233,0,0,0
Printing_and_Related_Support_Activities,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0.3995,0,0.3995,0,0.0864,0,1,0,1,0.0864,0.0864,0.1983,0.1977,0.1983,0.1977,0.0864,0.0864,0.0864,0.0864,0.0864,0,0,0.3995,0.3995,0.3697,0.2998,0,0,0
Petroleum_and_Coal_Products_Manufacturing,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0.0141,0,0.0141,0,0.037,0,1,0,1,0.037,0.037,0.0289,0.0289,0.0289,0.0289,0.037,0.037,0.037,0.037,0.037,0,0,0.0141,0.0141,0.0428,0.0125,0,0,0
Chemical_Manufacturing,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0,0.0323,0,0.0093,0,1,0,1,0.0093,0.0093,0.0175,0.0174,0.0175,0.0174,0.0093,0.0093,0.0093,0.0093,0.0093,0,0,0.0323,0.0323,0.0522,0.0391,0,0,0
Plastics_and_Rubber_Products_Manufacturing,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0.1847,0,0.1847,0,0.065,0,1,0,1,0.065,0.065,0.1078,0.1075,0.1078,0.1075,0.065,0.065,0.065,0.065,0.065,0,0,0.1847,0.1847,0.2358,0.1404,0,0,0
Nonmetallic_Mineral_Product_Manufacturing,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0.1343,0,0.1343,0,0.0484,0,1,0,1,0.0484,0.0484,0.0791,0.079,0.0791,0.079,0.0484,0.0484,0.0484,0.0484,0.0484,0,0,0.1343,0.1343,0.1848,0.12,0,0,0
