"Asset values (in millions of dollars), by industries and asset types",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industries/Asset types,Computers and peripheral equipment,Communication equipment,Nonelectronic medical instruments,Electronic medical instruments,Nonmedical instruments,Photocopy and related equipment,Office and accounting equipment,Nuclear fuel,Other fabricated metal products,Steam engines,Internal combustion engines,Metalworking machinery,"Special industrial machinery, n.e.c.",General industrial equipment,"Electric transmission, distribution and industrial apparatus",Light trucks (including utility vehicles),"Other trucks, buses, and truck trailers",Autos,Aircraft,Ships and boats,Railroad equipment,Household furniture,Other furniture and fixtures,Other agricultural machinery,Farm tractors,Other construction machinery,Construction tractors,Mining and oilfield machinery,Service industry machinery,Household appliances,"Other electrical equipment, n.e.c",Other nonresidential equipment,Office and medical buildings,Hospitals and special care facilities,Warehouses,Mobile structures,Other commercial buildings,Manufacturing buildings,Regulated electric power structures,Unregulated electric power structures,Regulated wind and solar power structures,Unregulated wind and solar power structures,Gas power structures,Petroleum pipelines,Communication structures,Depreciable petroleum and natural gas structures,Depreciable mining structures,Religious buildings,Educational and vocational buildings,Lodging buildings,Amusement and recreation buildings,Track replacement,Other railroad structures,Other transportation structures,Farm buildings,Water supply and sewer and waste disposal facilities,"Public safety, highways, conservation, and development",Oil and gas exploration (geological and geophysical)--integrated,Oil and gas exploration (geological and geophysical)--independent,Oil and gas development (intangible drilling costs)--integrated,Oil and gas development (intangible drilling costs)--independent,Other mineral exploration--C corps,Other mineral exploration--pass-throughs,Other mineral development--C corps,Other mineral development--pass-throughs,Prepackaged software,Custom software,Credit-eligible own account software,Other own-account software,Credit-eligible research and development,Other research and development,Theatrical movies,Long-lived television programs,Books,Music,Other entertainment originals,Reserved for non-BEA intangibles,Reserved for non-BEA intangibles,Residential equipment,Residential buildings,Inventories,Land,Reserved for non-BEA natural resources,Reserved for non-BEA natural resources,Reserved for non-BEA natural resources
Beverage_and_Tobacco_Products_Manufacturing,835,676,1,278,3788,61,12,0,7628,0,3,608,7859,14783,697,976,488,72,71,0,0,0,347,0,388,47,3,0,4940,0,24,1508,4585,0,2711,5,203,36569,0,8,0,0,0,0,0,1,0,0,0,120,99,0,0,9,33,24,181,0,0,0,0,0,0,0,0,596,974,8,4,5624,2543,0,0,0,0,0,0,0,0,0,34804,7720,0,0,0
Textile_and_Textile_Product_Mills,142,134,0,1,91,39,4,0,1077,0,1,313,9642,2057,403,137,22,23,1,0,0,0,241,0,0,13,0,0,134,5,34,662,3943,0,662,0,294,27611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,0,0,0,0,0,0,0,0,140,216,23,11,2647,1230,0,0,0,0,0,0,0,0,0,14112,1596,0,0,0
"Apparel,_Leather,_and_Allied_Products_Manufacturing",182,402,0,5,38,19,1,0,615,0,0,71,1094,551,377,22,16,10,89,0,0,0,204,0,0,2,0,0,114,0,3,165,4113,0,1156,0,539,8913,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,125,204,35,19,2526,1351,0,0,0,0,0,0,0,0,0,12935,1477,0,0,0
Wood_Product_Manufacturing,155,160,2,1,78,42,7,0,2218,18,64,83,9634,8661,442,860,496,60,6,0,0,0,380,0,80,3273,134,0,393,0,72,1302,1854,0,1538,95,218,34069,0,0,0,0,0,1,8,0,0,0,4,0,0,0,0,13,0,33,135,0,0,0,0,0,0,0,0,250,367,43,19,486,220,0,0,0,0,0,0,0,0,0,18327,12882,0,0,0
Paper_Manufacturing,476,247,115,2,231,28,1,0,3224,981,264,6026,34219,27762,3549,214,30,51,102,0,18,0,942,0,0,364,28,383,1375,0,35,1438,1694,0,1524,107,211,61056,0,830,0,12,4,1,0,0,0,0,0,0,6,0,0,46,0,93,178,0,0,0,0,0,0,0,0,626,1002,114,52,8335,3793,0,0,0,0,0,0,0,0,0,26748,8153,0,0,0
Printing_and_Related_Support_Activities,742,219,3,2,90,283,60,0,207,0,0,1205,11707,4818,452,177,17,43,6,0,0,0,476,0,0,16,33,1,254,0,430,1096,1572,0,816,5,74,26143,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,6,13,0,0,0,0,0,0,0,0,510,831,244,111,3178,1441,0,0,0,0,0,0,0,0,0,10011,771,0,0,0
Petroleum_and_Coal_Products_Manufacturing,276,1038,0,28,1451,478,12,0,4229,1353,8,1373,34844,68648,2386,2817,267,379,76,0,351,0,625,0,7,1153,83,16222,343,0,25,2276,9264,0,1165,5,336,116261,0,3,0,273,5554,5553,0,367,2,0,0,532,0,1,0,209,0,294,391,0,0,0,0,0,0,0,0,846,1573,157,71,39879,18024,0,0,0,0,0,0,0,0,0,111203,200030,0,0,0
Chemical_Manufacturing,3233,3178,6800,1370,21895,1848,75,0,27755,594,47,3481,42400,106777,5836,1799,322,289,3858,0,610,0,2692,0,438,301,24,1353,4645,0,980,6229,23463,0,8949,8,1790,267540,0,83,0,30,16,329,36,13,496,0,42,0,6,41,8,302,0,428,725,0,0,0,0,0,0,0,0,4539,7312,492,224,634231,288285,0,0,0,0,0,0,0,0,0,167880,70573,0,0,0
Plastics_and_Rubber_Products_Manufacturing,556,557,5,484,1011,114,19,0,6778,0,3,6256,43597,13323,420,571,211,88,231,0,0,0,392,0,14,390,30,129,100,0,157,3381,1727,0,1561,5,132,61082,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,3,0,111,30,0,0,0,0,0,0,0,0,737,1134,164,75,13140,5956,0,0,0,0,0,0,0,0,0,46339,9808,0,0,0
Nonmetallic_Mineral_Product_Manufacturing,110,509,47,6,436,47,8,0,6489,2,5,2473,8768,19543,863,915,2400,66,56,0,117,0,240,0,7,9653,340,571,401,0,182,1212,2853,0,1540,7,561,52149,0,0,0,0,6,58,0,30,323,11,0,0,0,0,0,14,0,29,86,0,0,0,0,0,0,0,0,210,326,28,13,19023,8613,0,0,0,0,0,0,0,0,0,20114,45834,0,0,0
