"Asset values (in millions of dollars), by industries and asset types",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industries/Asset types,Computers and peripheral equipment,Communication equipment,Nonelectronic medical instruments,Electronic medical instruments,Nonmedical instruments,Photocopy and related equipment,Office and accounting equipment,Nuclear fuel,Other fabricated metal products,Steam engines,Internal combustion engines,Metalworking machinery,"Special industrial machinery, n.e.c.",General industrial equipment,"Electric transmission, distribution and industrial apparatus",Light trucks (including utility vehicles),"Other trucks, buses, and truck trailers",Autos,Aircraft,Ships and boats,Railroad equipment,Household furniture,Other furniture and fixtures,Other agricultural machinery,Farm tractors,Other construction machinery,Construction tractors,Mining and oilfield machinery,Service industry machinery,Household appliances,"Other electrical equipment, n.e.c",Other nonresidential equipment,Office and medical buildings,Hospitals and special care facilities,Warehouses,Mobile structures,Other commercial buildings,Manufacturing buildings,Regulated electric power structures,Unregulated electric power structures,Regulated wind and solar power structures,Unregulated wind and solar power structures,Gas power structures,Petroleum pipelines,Communication structures,Depreciable petroleum and natural gas structures,Depreciable mining structures,Religious buildings,Educational and vocational buildings,Lodging buildings,Amusement and recreation buildings,Track replacement,Other railroad structures,Other transportation structures,Farm buildings,Water supply and sewer and waste disposal facilities,"Public safety, highways, conservation, and development",Oil and gas exploration (geological and geophysical)--integrated,Oil and gas exploration (geological and geophysical)--independent,Oil and gas development (intangible drilling costs)--integrated,Oil and gas development (intangible drilling costs)--independent,Other mineral exploration--C corps,Other mineral exploration--pass-throughs,Other mineral development--C corps,Other mineral development--pass-throughs,Prepackaged software,Custom software,Credit-eligible own account software,Other own-account software,Credit-eligible research and development,Other research and development,Theatrical movies,Long-lived television programs,Books,Music,Other entertainment originals,Reserved for non-BEA intangibles,Reserved for non-BEA intangibles,Residential equipment,Residential buildings,Inventories,Land,Reserved for non-BEA natural resources,Reserved for non-BEA natural resources,Reserved for non-BEA natural resources
Transit_and_Ground_Passenger_Transportation,91,387,19,1,89,15,5,0,33,0,8,27,16,147,456,11430,18602,1166,0,0,688,0,126,0,0,4,13,0,375,0,1,2418,4123,0,2100,0,6046,663,0,0,0,0,0,0,0,0,0,0,157,0,0,517,97,13365,0,1355,3947,0,0,0,0,0,0,0,0,193,343,0,0,68,68,0,0,0,0,0,0,0,0,0,434,2494,0,0,0
Pipeline_Transportation,78,1497,0,14,786,162,6,0,956,0,595,1,0,7081,1300,642,273,128,21,1362,0,0,429,0,0,168,5,26527,177,3,28,670,12181,0,0,0,6969,539,0,934,0,27099,143089,158318,0,2002,245,0,0,0,0,0,0,6733,0,35,1613,0,0,0,0,0,0,0,0,126,255,103,89,501,430,0,0,0,0,0,0,0,0,0,525,949,0,0,0
Other_Transportation_and_Support_Activities,2689,4798,6,0,224,381,79,0,958,0,27,838,392,7275,498,2539,18802,281,21712,3867,21059,0,999,0,2,575,33,15,1441,0,11,7734,8753,0,44289,408,4656,1361,0,37,0,5016,1316,437,531,0,0,0,0,15859,194,0,39901,2671,0,817,1096,0,0,0,0,0,0,0,0,2468,3703,573,497,262,228,0,0,0,0,0,0,0,0,0,10465,42787,0,0,0
Warehousing_and_Storage,613,288,0,0,305,182,101,0,1939,0,7,1756,120,6856,130,507,1256,35,23,10,26,0,626,0,31,8,1,2572,1587,80,541,3862,4482,0,54903,0,770,11920,0,226,0,425,1778,1375,0,0,0,0,0,0,0,0,0,541,0,87,148,0,0,0,0,0,0,0,0,873,1317,385,373,99,96,0,0,0,0,0,0,0,0,0,13281,54244,0,0,0
Publishing_Industries_(Except_Internet),13213,10743,79,1,1339,1399,97,0,51,0,3,24,2364,1462,323,398,16,66,1139,0,0,0,3311,0,0,7,1,0,93,0,70,715,63256,0,1314,0,1570,26267,0,0,0,0,0,0,122,0,0,8,0,0,0,0,0,0,0,30,60,0,0,0,0,0,0,0,0,8489,14031,2296,263,191841,21988,0,0,58237,0,3973,0,0,0,0,5759,15823,0,0,0
Motion_Picture_and_Sound_Recording_Industries,671,5242,5,0,31,366,5,0,34,0,0,0,123,513,312,193,4,33,0,11,0,0,4106,0,0,0,0,0,1510,0,11,1504,11447,0,3152,84,3212,5349,0,0,0,0,0,0,13,0,0,0,76,0,27390,0,0,114,0,21,38,0,0,0,0,0,0,0,0,752,1167,705,94,875,117,206401,83895,3710,12882,0,0,0,0,0,8920,17411,0,0,0
Broadcasting_(Except_Internet)_and_Telecommunications,11458,427807,59,89,673,914,127,0,2161,21,222,62,1704,8638,17225,20188,174,2933,2018,0,0,0,4500,0,0,575,35,0,19835,0,2382,5265,147982,0,1141,487,13195,29130,0,5149,0,17242,0,0,746545,0,0,26,9,0,38471,0,0,539,0,409,1816,0,0,0,0,0,0,0,0,14153,14881,1464,197,73298,9873,0,191320,0,0,0,0,0,0,0,29394,48710,0,0,0
"Data_Processing,_Hosting,_and_Other_Information_Services",75490,61278,36,4,745,951,117,0,73,0,0,121,16705,5017,448,118,12,28,3280,0,0,0,9294,0,5,9,1,0,31,0,10256,1779,130993,52,705,0,2084,8497,0,7225,0,0,0,0,73205,0,0,0,4830,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,40088,87824,48349,6438,98046,13055,0,0,0,0,0,0,0,0,0,13077,214584,0,0,0
Depository_Credit_Intermediation,23623,12087,30,19,171,514,2009,0,315,781,0,488,541,829,653,1623,637,331,15820,1381,9386,131,21322,291,55,265,178,31,319,6,96,49099,384391,0,5243,31,53625,13930,0,7,0,0,0,0,19,0,0,0,269,0,172,0,0,0,0,0,225,0,0,0,0,0,0,0,0,26367,22936,4611,2872,5764,3591,0,0,0,0,0,0,0,0,0,51,54527,0,0,0
Other_Intermediation,6107,1959,8,18,4,52,191,0,77,100,0,77,94,145,98,103,23,35,1666,92,766,8,2025,5,1,7,2,1,355,3,33,1172,17886,0,470,2,3734,1170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10594,12474,1154,412,2366,845,0,0,0,0,0,0,0,0,0,256,3660,0,0,0
Nondepository_Credit_Intermediation,1450,2249,42,26,44,99,266,0,309,1580,1,1734,27922,62521,675,152085,4038,57323,11922,1674,33508,19,3425,185,58,450,502,13,171,41,1146,51181,82769,0,1448,12,15525,3493,0,829,0,587,0,1,11,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3284,5387,1195,541,10962,4966,0,0,0,0,0,0,0,0,0,916,15351,0,0,0
"Securities,_Commodity_Contracts,_and_Other_Financial_Investments_and_Related_Activities",14933,9712,7,9,20,517,204,0,78,40,0,2,159,188,385,233,141,57,4357,36,119,9,9832,6,1,26,2,96,102,20,139,3071,123158,277,6908,0,10760,5287,0,0,0,28,0,1,0,0,0,0,0,32828,0,0,0,0,403,0,25,0,0,0,0,0,0,0,0,20596,30222,4416,1782,12238,4939,0,0,0,0,0,0,0,0,0,163,14644,0,0,0
Insurance_Carriers,14709,7023,240,48,126,2375,544,0,71,561,3,353,114,222,433,2567,75,442,24969,66,1718,0,10903,0,6,6,0,100,92,16,196,3550,161981,155,7110,14,38892,18912,0,1,0,0,0,0,47,0,0,0,23,727,30,1,0,256,0,0,50,0,0,0,0,0,0,0,0,26195,39677,3281,1613,23317,11465,0,0,0,0,0,0,0,0,0,1370,9655,0,0,0
Insurance_Agencies_and_Brokers_and_Related_Services,2477,1206,28,6,9,946,270,0,22,123,0,51,34,80,105,1722,85,245,1968,4,133,0,2748,0,8,1,0,0,41,1,38,656,19338,0,906,11,804,4993,0,1,0,0,0,0,59,0,0,0,0,0,0,3,1,185,0,0,97,0,0,0,0,0,0,0,0,2963,4616,1745,635,0,0,0,0,0,0,0,0,0,0,0,451,3220,0,0,0
"Funds,_Trusts,_and_Other_Financial_Vehicles_",495,111,71,0,0,58,16,0,1,0,0,0,0,0,0,51,0,13,120,0,0,1,301,0,0,0,532,0,0,0,0,5,45189,454,0,0,6748,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1377,1696,1365,810,166,99,0,0,0,0,0,0,0,0,0,16,21823,0,0,0
Real_Estate,13116,5037,318,3405,512,1586,927,0,3022,337,163,14,433,8338,1185,8208,309,1263,5011,62,40,3581,61549,450,545,965,90,18,5266,2896,145,23993,567859,55520,199894,2693,488527,197552,0,286,0,781,0,0,2006,0,0,0,212,237905,91884,0,0,2604,106474,14290,4435,0,0,0,0,0,0,0,0,8844,4610,1440,1200,1735,1446,0,0,0,0,0,0,0,101400,6011941,2724,3264836,0,0,0
Rental_and_Leasing_(Including_Nonfinancial_Intangibles),6994,6252,7272,6088,2158,137,791,0,8997,1086,2,420,6055,11683,5301,102202,26949,29794,153682,1573,51701,3388,6319,4302,1011,58295,6912,7127,10139,591,452,18743,14035,0,8799,1828,15735,5350,0,0,0,0,159,90,1595,17,4,0,22,34,294,0,0,449,0,35,68,0,0,0,0,0,0,0,0,3629,5898,250,183,699,512,0,0,0,0,0,0,0,0,0,16764,52327,0,0,0
Legal_Services,2441,1925,0,6,0,720,49,0,42,0,29,0,17,85,142,3000,44,504,143,2,0,0,5040,0,0,0,0,0,166,14,51,562,37083,0,0,0,5662,0,0,3,0,0,0,0,10,0,0,0,15,0,0,0,0,90,0,0,16,0,0,0,0,0,0,0,0,1365,2304,595,159,0,0,0,0,0,0,0,0,0,0,0,123,2065,0,0,0
Computer_Systems_Design_and_Related_Services,14905,7259,271,2,1698,425,29,0,67,3,2,167,58,118,128,4245,10,589,299,5,9,0,3431,0,0,2,0,0,110,0,522,2425,45439,0,589,0,772,2346,0,0,0,0,0,0,483,0,0,0,0,0,111,0,0,67,0,0,18,0,0,0,0,0,0,0,0,15272,21790,4957,1179,42324,10064,0,0,0,0,0,0,0,0,0,10302,7464,0,0,0
"Other_Professional,_Scientific,_and_Technical_Services",15957,12857,17901,11096,61744,3076,219,0,1642,5,52,2259,11795,7775,962,9976,399,1423,4206,259,0,0,9909,0,929,2008,137,987,2730,0,425,10286,138965,806,11657,569,10601,98824,0,1815,0,2528,17,12,310,99,0,0,5859,1915,175,0,0,93,703,415,1967,0,0,0,0,0,0,0,0,13748,54097,12029,3837,211577,67488,0,0,0,0,11753,0,0,0,0,59127,52981,0,0,0
Management_Of_Companies_and_Enterprises,9479,11585,1577,3279,1299,2478,238,0,252,197,6,331,1121,1471,1441,1140,157,278,7530,198,566,0,11991,213,32,430,133,1125,1121,4,108,3420,276543,3718,16271,0,70346,41469,0,2518,0,2489,681,513,3038,0,0,31,188,836,478,0,0,361,0,1,94,0,0,0,0,0,0,0,0,10782,17987,12596,7458,2923,1730,0,0,0,0,0,0,0,0,0,2853,331375,0,0,0
Administrative_and_Support_Services,11765,6323,7940,1525,823,1995,549,0,629,0,119,97,488,4613,649,25926,4793,2266,4372,862,0,0,10467,0,3150,5098,226,77,12366,115,75,11498,80436,7569,4728,408,7195,4646,0,74,0,0,0,0,520,0,0,0,142,71,754,0,0,117,457,372,11123,0,0,0,0,0,0,0,0,14788,23544,15490,5892,0,0,0,0,0,0,0,0,0,0,0,13077,32433,0,0,0
Waste_Management_and_Remediation_Services,147,332,8,2,350,28,3,28,6042,864,71,78,716,6362,414,1408,11276,88,47,3,5,0,175,0,135,8099,377,52,3263,0,6,3561,13615,0,501,138,10178,8864,0,2085,0,0,0,1708,0,0,0,0,36,0,0,0,0,244,0,57662,8742,0,0,0,0,0,0,0,0,132,215,156,55,1016,355,0,0,0,0,0,0,0,0,0,3808,49594,0,0,0
Educational_Services,3646,6143,3457,6967,10362,500,194,0,142,10,6,54,326,2509,476,1073,87,159,550,74,0,0,5974,0,73,35,1,0,896,51,220,12512,26646,2067,38,0,1835,1610,0,1362,0,169,4,1,245,0,0,1615,734346,8005,18383,0,0,72,1676,343,1197,0,0,0,0,0,0,0,0,2574,4118,482,5439,0,0,0,0,0,0,0,0,0,0,0,1270,4601,0,0,0
Ambulatory_Health_Care_Services,4140,2672,96532,67551,7948,1092,58,0,137,6,3,0,91,909,503,2398,453,417,6255,19,49,0,3911,0,5,0,50,0,2240,86,55,3685,239251,95825,505,0,2052,3226,0,182,0,0,0,0,188,0,0,0,122,72,405,0,0,3231,0,6,1182,0,0,0,0,0,0,0,0,3276,4968,388,483,11968,14914,0,0,0,0,0,0,0,0,0,6286,10100,0,0,0
Hospitals,5746,4078,180349,111088,1751,426,46,0,540,13,5,0,158,2323,710,307,11,67,210,1,0,0,3867,0,14,14,1762,0,2240,16,167,3101,82615,1025178,61,27,3228,349,0,2229,0,499,0,0,1760,0,0,15,838,74,235,0,0,495,0,4,318,0,0,0,0,0,0,0,0,7498,11839,257,1308,0,0,0,0,0,0,0,0,0,0,0,441,37056,0,0,0
Nursing_and_Residential_Care_Facilities,763,889,7374,703,176,312,47,0,106,21,0,0,401,1992,343,2508,121,294,6,20,0,0,5643,0,18,1,8,0,1493,137,72,1765,34092,88617,75,0,2319,151,0,99,0,0,2,2,122,0,0,105,3494,985,5003,0,0,0,0,21,753,0,0,0,0,0,0,0,0,505,770,10,20,2444,4770,0,0,0,0,0,0,0,0,0,376,12367,0,0,0
Social_Assistance,930,995,281,244,50,336,63,0,539,0,0,0,133,887,77,2717,451,279,181,4,10,0,3014,0,40,59,2,0,601,16,15,3552,35114,8269,874,281,2109,3642,0,41,0,0,0,0,146,0,0,1524,21083,1669,16197,0,0,36,0,27,2705,0,0,0,0,0,0,0,0,728,1105,59,244,216,901,0,0,0,0,0,0,0,0,0,2534,6200,0,0,0
"Performing_Arts,_Spectator_Sports,_Museums,_and_Related_Activities",840,3425,86,166,130,337,137,0,551,0,52,83,750,752,170,729,100,128,784,1445,0,0,2880,0,112,40,3,0,1839,76,105,10175,12914,1370,892,43,9692,1273,0,48,0,25,0,0,25,0,0,0,39688,13301,91537,0,0,226,0,1954,3195,0,0,0,0,0,0,0,0,572,953,130,120,667,617,0,4204,26760,17893,19795,0,0,0,0,2660,25872,0,0,0
"Amusement,_Gambling,_and_Recreation_Services",1428,4671,3,11,90,117,171,0,301,24,11,0,152,1633,122,1476,89,155,38,2366,0,0,8007,0,1346,0,310,0,14948,12,91,14641,13325,3,230,56,9976,1424,0,81,0,0,0,0,22,0,0,0,356,74822,181235,0,0,892,0,148,474,0,0,0,0,0,0,0,0,1111,1764,15,16,1630,1782,0,0,0,0,0,0,0,0,0,5205,101244,0,0,0
Accomodation,393,1088,0,5,24,148,82,0,1176,2,2,0,206,932,977,251,87,37,265,212,0,15909,5173,0,49,5,15,3,4746,215,23,12818,1402,161,18,6,2366,32,0,0,0,316,4,1,2,0,0,0,208,516200,7975,0,0,101,0,85,312,0,0,0,0,0,0,0,0,663,1202,28,11,4327,1705,0,0,0,0,0,0,0,0,0,9369,349006,0,0,0
Food_Services_and_Drinking_Places,3494,1854,74,1433,96,73,298,0,3431,8,2,1,8276,4481,354,3046,1205,287,809,0,0,393,14786,0,3,2,205,29,58665,1337,79,12290,5701,7,599,498,239939,3010,0,0,0,0,0,1,0,0,0,0,124,24032,15078,0,0,483,0,17,89,0,0,0,0,0,0,0,0,2285,3520,0,0,2696,926,0,0,0,0,0,0,0,0,0,23296,136666,0,0,0
Other_Services_(Except_Public_Administration),5300,8220,1117,2803,2473,1140,126,0,1799,16,64,3045,3216,11678,2658,17084,3135,2075,728,1332,0,0,14734,0,610,956,45,203,22961,922,1494,13637,114060,4882,5715,2699,58331,16285,0,402,0,193,0,11,1740,0,0,444917,38629,8146,54332,0,0,1081,3626,289,2804,0,0,0,0,0,0,0,0,5326,8176,767,1998,4242,11049,0,0,0,0,0,0,0,0,0,30370,119627,0,0,0
Owner-occupied_Housing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26573118,0,20534966,0,0,0
