Acceleration factor,Default value for industry,Computers and peripheral equipment,Communication equipment,Nonelectronic medical instruments,Electronic medical instruments,Nonmedical instruments,Photocopy and related equipment,Office and accounting equipment,Nuclear fuel,Other fabricated metal products,Steam engines,Internal combustion engines,Metalworking machinery,"Special industrial machinery, n.e.c.",General industrial equipment,"Electric transmission, distribution and industrial apparatus",Light trucks (including utility vehicles),"Other trucks, buses, and truck trailers",Autos,Aircraft,Ships and boats,Railroad equipment,Household furniture,Other furniture and fixtures,Other agricultural machinery,Farm tractors,Other construction machinery,Construction tractors,Mining and oilfield machinery,Service industry machinery,Household appliances,"Other electrical equipment, n.e.c",Other nonresidential equipment,Office and medical buildings,Hospitals and special care facilities,Warehouses,Mobile structures,Other commercial buildings,Manufacturing buildings,Regulated electric power structures,Unregulated electric power structures,Regulated wind and solar power structures,Unregulated wind and solar power structures,Gas power structures,Petroleum pipelines,Communication structures,Depreciable petroleum and natural gas structures,Depreciable mining structures,Religious buildings,Educational and vocational buildings,Lodging buildings,Amusement and recreation buildings,Track replacement,Other railroad structures,Other transportation structures,Farm buildings,Water supply and sewer and waste disposal facilities,"Public safety, highways, conservation, and development",Oil and gas exploration (geological and geophysical)--integrated,Oil and gas exploration (geological and geophysical)--independent,Oil and gas development (intangible drilling costs)--integrated,Oil and gas development (intangible drilling costs)--independent,Other mineral exploration--C corps,Other mineral exploration--pass-throughs,Other mineral development--C corps,Other mineral development--pass-throughs,Prepackaged software,Custom software,Credit-eligible own account software,Other own-account software,Credit-eligible research and development,Other research and development,Theatrical movies,Long-lived television programs,Books,Music,Other entertainment originals,Reserved for non-BEA intangibles,Reserved for non-BEA intangibles,Residential equipment,Residential buildings,Inventories,Land,Reserved for non-BEA natural resources,Reserved for non-BEA natural resources,Reserved for non-BEA natural resources
Other_Electric_Power_Generation,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Electric_Power_Transmission_and_Distribution,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,2.00,1.50,1.50,1.50,1.50,1.50,1.50,1.50,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Natural_Gas_Distribution_and_Transmission,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,2.00,1.50,1.50,1.50,1.50,1.50,1.50,1.50,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Water_and_Sewer_Systems,1.00,2.00,2.00,1.00,1.00,1.00,2.00,2.00,2.00,1.00,1.50,1.00,1.00,1.00,1.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Construction,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
"Grain,_Sugar,_and_Vegetable_Oil_Products_Manufacturing",2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Other_Food_Products_Manufacturing,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Beverage_and_Tobacco_Products_Manufacturing,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
"Knitted_Goods,_Carpets,_and_Textile_Finishing_Manufacturing",2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Other_Textile_and_Textile_Product_Mills,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Apparel_Manufacturing,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Leather_and_Allied_Products_Manufacturing,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Wood_Product_Manufacturing,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Paper_Manufacturing,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Printing_and_Related_Support_Activities,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Petroleum_Refining,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Other_Petroleum_and_Coal_Products_Manufacturing,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Chemical_Manufacturing,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Plastics_and_Rubber_Products_Manufacturing,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Glass_Products_Manufacturing,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Cement_Manufacturing,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,2.00,1.50,1.50,1.50,1.50,1.50,1.50,1.50,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Other_Nonmetalic_Mineral_Products_Manufacturing,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
Primary_Ferrous_Metal_Manufacturing,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,1.50,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,2.00,1.00,1.00,1.50,1.50,2.00,2.00,1.50,1.50,1.50,2.00,2.00,1.00,1.00,1.00,1.00,2.00,1.50,1.00,1.50,1.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,1.79,1.28,2.87,1.11,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,0.00
