"Weights (Asset Values) by Asset Type, Legal Form, and Financing Source, 2024 (Millions of Dollars)"
,C Corporations,C Corporations,C Corporations,Pass-through Entities,Pass-through Entities,Pass-through Entities,Businesses,Businesses,Businesses
,Equity,Debt,Typical (Biz),Equity,Debt,Typical (Biz),Equity,Debt,Typical (Biz)
Computers and peripheral equipment,174008.04,80999.29,255007.33,35994.08,14082.65,50076.73,210002.12,95081.94,305084.06
Communication equipment,451588.04,185838.49,637426.53,37470.5,12538.58,50009.08,489058.54,198377.07,687435.61
Nonelectronic medical instruments,49025.81,48412.98,97438.78,29624.15,12931.44,42555.6,78649.96,61344.42,139994.38
Electronic medical instruments,37419.05,33536.57,70955.63,20909.39,9449.63,30359.03,58328.44,42986.21,101314.65
Nonmedical instruments,107363.91,43820.73,151184.64,62683.74,20495.85,83179.59,170047.65,64316.58,234364.23
Photocopy and related equipment,19017.76,9633.22,28650.98,5623.44,2071.12,7694.56,24641.19,11704.34,36345.53
Office and accounting equipment,5171.45,4286.2,9457.65,2072.74,952.62,3025.37,7244.19,5238.83,12483.02
Nuclear fuel,2107.87,1279.54,3387.41,11.45,2.64,14.09,2119.32,1282.17,3401.5
Other fabricated metal products,123416.31,52655.61,176071.92,35741.59,9678.57,45420.15,159157.89,62334.18,221492.07
Steam engines,63609.08,36332.13,99941.22,1395.13,514.8,1909.94,65004.22,36846.94,101851.15
Internal combustion engines,9727.5,4878.83,14606.33,1178.66,302.48,1481.14,10906.16,5181.31,16087.47
Metalworking machinery,187387.71,80724.19,268111.9,47880.62,8448.94,56329.56,235268.33,89173.13,324441.46
"Special industrial machinery, n.e.c.",243719.56,106828.42,350547.98,44208.29,11066.02,55274.32,287927.86,117894.45,405822.3
General industrial equipment,530157.11,230632.48,760789.59,101311.25,26865.72,128176.97,631468.37,257498.2,888966.56
"Electric transmission, distribution and industrial apparatus",379110.73,208267.73,587378.45,15487.81,4278.52,19766.32,394598.53,212546.25,607144.78
Light trucks (including utility vehicles),216578.31,156672.81,373251.12,111953.02,42432.7,154385.72,328531.33,199105.51,527636.84
"Other trucks, buses, and truck trailers",111946.99,51073.12,163020.11,74950.47,31769.97,106720.44,186897.46,82843.09,269740.55
Autos,46669.18,43584.22,90253.4,16287.41,6945.15,23232.56,62956.59,50529.37,113485.96
Aircraft,240553.46,200154.41,440707.87,51823.41,25256.4,77079.82,292376.88,225410.81,517787.69
Ships and boats,55423.34,19835.77,75259.11,23411.85,8103.2,31515.05,78835.19,27938.97,106774.16
Railroad equipment,87578.65,62189.86,149768.52,15512.63,7820.41,23333.04,103091.29,70010.27,173101.56
Household furniture,8827.58,7541.84,16369.42,5650.0,5267.75,10917.75,14477.58,12809.59,27287.18
Other furniture and fixtures,146232.33,96831.09,243063.42,73275.03,34613.4,107888.42,219507.36,131444.49,350951.85
Other agricultural machinery,32691.78,10668.06,43359.84,127959.8,51346.73,179306.53,160651.57,62014.79,222666.37
Farm tractors,18112.97,6163.17,24276.14,34477.64,13771.61,48249.26,52590.61,19934.78,72525.39
Other construction machinery,103466.75,46828.85,150295.6,88513.81,27156.31,115670.12,191980.57,73985.16,265965.72
Construction tractors,9479.13,5282.73,14761.86,7552.94,2485.46,10038.4,17032.07,7768.19,24800.26
Mining and oilfield machinery,125208.6,36677.49,161886.09,18755.75,4431.91,23187.66,143964.36,41109.4,185073.76
Service industry machinery,86266.12,59475.62,145741.75,40893.28,27041.4,67934.67,127159.4,86517.02,213676.42
Household appliances,1694.26,1224.63,2918.89,2117.6,1330.91,3448.51,3811.86,2555.54,6367.4
"Other electrical equipment, n.e.c",22854.89,9398.49,32253.38,3297.47,1010.31,4307.77,26152.36,10408.79,36561.15
Other nonresidential equipment,193793.82,141370.95,335164.77,75327.0,34601.97,109928.96,269120.81,175972.92,445093.73
Office and medical buildings,1190613.45,849064.95,2039678.4,542588.43,261974.31,804562.75,1733201.88,1111039.26,2844241.14
Hospitals and special care facilities,63416.68,159427.19,222843.87,63077.52,35809.7,98887.22,126494.2,195236.89,321731.09
Warehouses,451910.84,195847.74,647758.58,210992.73,84369.2,295361.93,662903.57,280216.94,943120.51
Mobile structures,4388.68,2116.64,6505.32,3769.29,1695.76,5465.04,8157.97,3812.39,11970.36
Other commercial buildings,934348.66,622325.08,1556673.74,529568.06,259580.85,789148.91,1463916.72,881905.93,2345822.65
Manufacturing buildings,1493303.9,603135.87,2096439.76,346852.68,103897.66,450750.34,1840156.58,707033.52,2547190.1
Regulated electric power structures,613887.82,371960.62,985848.44,2382.14,248.9,2631.03,616269.96,372209.51,988479.47
Unregulated electric power structures,135031.7,71538.46,206570.16,8440.87,2269.8,10710.67,143472.57,73808.26,217280.83
Regulated wind and solar power structures,122555.25,74257.42,196812.67,475.56,49.69,525.25,123030.82,74307.11,197337.93
Unregulated wind and solar power structures,70630.81,32466.33,103097.14,45425.17,17552.63,62977.81,116055.98,50018.96,166074.95
Gas power structures,471936.19,144591.94,616528.13,30698.61,8529.47,39228.08,502634.8,153121.41,655756.21
Petroleum pipelines,166339.69,54518.67,220858.36,22438.55,7738.91,30177.45,188778.24,62257.57,251035.81
Communication structures,579381.14,206434.1,785815.24,12490.05,3178.46,15668.51,591871.19,209612.56,801483.75
Depreciable petroleum and natural gas structures,683975.08,208263.9,892238.99,75067.77,9727.05,84794.83,759042.86,217990.96,977033.81
Depreciable mining structures,139393.72,33120.69,172514.4,21982.88,2828.11,24810.99,161376.6,35948.8,197325.39
Religious buildings,36005.92,16708.33,52714.25,48430.63,31992.86,80423.49,84436.55,48701.19,133137.74
Educational and vocational buildings,39806.25,18945.66,58751.91,38252.66,15799.72,54052.38,78058.92,34745.38,112804.3
Lodging buildings,218871.77,224745.29,443617.06,208894.38,197940.67,406835.06,427766.15,422685.96,850452.12
Amusement and recreation buildings,133904.36,88148.4,222052.76,93296.74,58408.96,151705.7,227201.1,146557.36,373758.46
Track replacement,186075.95,81638.97,267714.92,3553.16,743.37,4296.54,189629.12,82382.34,272011.46
Other railroad structures,133017.13,60524.87,193542.0,7866.69,2580.73,10447.43,140883.82,63105.61,203989.43
Other transportation structures,58045.15,45156.09,103201.24,15455.37,6708.97,22164.34,73500.52,51865.06,125365.58
Farm buildings,72134.97,24174.31,96309.28,286266.0,123275.42,409541.42,358400.97,147449.73,505850.7
Water supply and sewer and waste disposal facilities,63623.89,38453.76,102077.65,18681.8,9029.03,27710.83,82305.7,47482.79,129788.49
"Public safety, highways, conservation, and development",28460.41,14583.46,43043.87,16894.66,6901.83,23796.49,45355.08,21485.29,66840.37
Oil and gas exploration (geological and geophysical)--integrated,9045.27,2784.73,11830.0,0.0,0.0,0.0,9045.27,2784.73,11830.0
Oil and gas exploration (geological and geophysical)--independent,12364.48,3806.58,16171.06,1317.08,166.79,1483.87,13681.57,3973.36,17654.93
Oil and gas development (intangible drilling costs)--integrated,254774.07,78435.93,333210.0,0.0,0.0,0.0,254774.07,78435.93,333210.0
Oil and gas development (intangible drilling costs)--independent,358807.38,110464.4,469271.78,25027.24,3169.29,28196.53,383834.62,113633.69,497468.31
Other mineral exploration--C corps,49958.23,11945.77,61904.0,0.0,0.0,0.0,49958.23,11945.77,61904.0
Other mineral exploration--pass-throughs,0.0,0.0,0.0,8051.51,1024.49,9076.0,8051.51,1024.49,9076.0
Other mineral development--C corps,47343.45,11320.55,58664.0,0.0,0.0,0.0,47343.45,11320.55,58664.0
Other mineral development--pass-throughs,0.0,0.0,0.0,7631.01,970.99,8602.0,7631.01,970.99,8602.0
Prepackaged software,184834.71,98979.54,283814.24,14830.34,5894.71,20725.06,199665.05,104874.25,304539.3
Custom software,299742.8,141892.08,441634.88,22814.92,7814.99,30629.91,322557.72,149707.06,472264.78
Credit-eligible own account software,87493.72,39936.09,127429.81,10293.4,3666.79,13960.19,97787.12,43602.88,141390.0
Other own-account software,19358.13,11466.95,30825.08,3343.09,1314.83,4657.91,22701.22,12781.78,35483.0
Credit-eligible research and development,1413380.25,512170.3,1925550.55,100978.19,21100.25,122078.45,1514358.44,533270.56,2047629.0
Other research and development,504988.2,184203.25,689191.45,32880.84,7026.39,39907.23,537869.03,191229.64,729098.67
Theatrical movies,143118.78,49659.75,192778.53,7541.23,1106.97,8648.2,150660.02,50766.72,201426.74
Long-lived television programs,192952.8,70009.8,262962.6,6838.83,1712.31,8551.14,199791.62,71722.11,271513.74
Books,43803.11,16320.81,60123.92,14580.1,6170.07,20750.17,58383.22,22490.87,80874.09
Music,8932.4,3099.39,12031.79,9554.0,4113.85,13667.85,18486.39,7213.24,25699.64
Other entertainment originals,9821.04,3779.31,13600.34,11183.04,4681.3,15864.35,21004.08,8460.61,29464.69
Reserved for non-BEA intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reserved for non-BEA intangibles,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Residential equipment,15922.67,7662.97,23585.64,44561.69,25120.39,69682.08,60484.36,32783.36,93267.72
Residential buildings,944044.63,454332.84,1398377.48,2642034.04,1489371.81,4131405.86,3586078.68,1943704.65,5529783.33
Inventories,1794038.5,693400.77,2487439.27,944735.59,237906.85,1182642.44,2738774.09,931307.62,3670081.71
Land,2927042.83,1472689.22,4399732.05,3881611.93,1801606.3,5683218.23,6808654.76,3274295.52,10082950.28
Reserved for non-BEA natural resources,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reserved for non-BEA natural resources,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reserved for non-BEA natural resources,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nonresidential equipment,3890208.1,2083099.53,5973307.63,1213351.97,459065.16,1672417.14,5103560.07,2542164.69,7645724.76
Nonresidential structures,8823352.31,4460906.68,13284258.99,2695869.26,1258163.64,3954032.9,11519221.57,5719070.32,17238291.89
Residential property,959967.3,461995.82,1421963.12,2686595.73,1514492.2,4201087.94,3646563.03,1976488.02,5623051.05
R&D and own-account software,2025220.3,747776.6,2772996.89,147495.51,33108.27,180603.78,2172715.81,780884.86,2953600.67
Other intellectual property products,883205.63,383740.67,1266946.3,87342.47,31494.2,118836.67,970548.1,415234.88,1385782.97
"All equipment, structures, IPP, and inventories",18375992.13,8830920.07,27206912.2,7775390.53,3534230.32,11309620.86,26151382.66,12365150.39,38516533.05
"All equipment, structures, IPP, inventories, and land",21303034.96,10303609.29,31606644.25,11657002.47,5335836.62,16992839.09,32960037.43,15639445.91,48599483.34
