"Weights (Asset Values) by Asset Type, Legal Form, and Financing Source, 2021 (Millions of Dollars)"
,C Corporations,C Corporations,C Corporations,Pass-through Entities,Pass-through Entities,Pass-through Entities,Businesses,Businesses,Businesses
,Equity,Debt,Typical (Biz),Equity,Debt,Typical (Biz),Equity,Debt,Typical (Biz)
Oil and gas exploration (geological and geophysical)--integrated,15949.02,3474.98,19424.0,0.0,0.0,0.0,15949.02,3474.98,19424.0
Oil and gas exploration (geological and geophysical)--independent,21019.32,4579.69,25599.01,3304.42,1030.97,4335.39,24323.74,5610.66,29934.4
Oil and gas development (intangible drilling costs)--integrated,382769.29,83397.71,466167.0,0.0,0.0,0.0,382769.29,83397.71,466167.0
Oil and gas development (intangible drilling costs)--independent,504456.06,109910.8,614366.86,79304.94,24742.95,104047.89,583761.0,134653.75,718414.75
Other mineral exploration--C corps,24743.88,6200.12,30944.0,0.0,0.0,0.0,24743.88,6200.12,30944.0
Other mineral exploration--pass-throughs,0.0,0.0,0.0,3216.31,1406.69,4623.0,3216.31,1406.69,4623.0
Other mineral development--C corps,24743.88,6200.12,30944.0,0.0,0.0,0.0,24743.88,6200.12,30944.0
Other mineral development--pass-throughs,0.0,0.0,0.0,3216.31,1406.69,4623.0,3216.31,1406.69,4623.0
Prepackaged software,88415.53,53999.31,142414.85,7876.88,3334.33,11211.21,96292.41,57333.64,153626.06
Custom software,185591.12,102391.2,287982.31,12093.25,4466.25,16559.51,197684.37,106857.45,304541.82
Credit-eligible own account software,57075.17,25186.01,82261.18,9746.35,3049.47,12795.82,66821.52,28235.48,95057.0
Other own-account software,18581.23,14853.44,33434.67,4182.93,1829.41,6012.34,22764.16,16682.85,39447.01
Credit-eligible research and development,990688.21,400511.88,1391200.09,84873.42,19385.49,104258.91,1075561.63,419897.37,1495459.0
Other research and development,300532.39,122046.89,422579.28,18676.12,4406.13,23082.25,319208.51,126453.01,445661.53
Theatrical movies,83885.73,82851.96,166737.69,469.59,689.61,1159.2,84355.32,83541.57,167896.89
Long-lived television programs,131627.03,70884.04,202511.07,2284.51,2329.57,4614.08,133911.54,73213.61,207125.15
Books,33444.9,23748.36,57193.26,8817.16,7271.05,16088.21,42262.06,31019.41,73281.46
Music,4474.5,4419.36,8893.86,4918.83,4172.12,9090.95,9393.34,8591.48,17984.82
